AnimalID,LitterRef,Group,DateOfBirth,Sex,Treatment,Outcome,Time,Mnths,LitterSize,Mat.Birthdate,Mat.Age,MAMnths,Mat.Litter,Mother,Sur30,GroupSize,TunnelSize,M,Density,Mat_Col,Pat_Col,Date,Weight,Age,Amnths
KBM009,670,Kori,21/02/2021,M,NB,Death,745,24.6,4,03/03/2017,1451,48,3,9,1,5,S,4,1.3,Cousteau,Aristotle,15/11/2021,83,268,8.9
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,15/11/2021,128,596,19.7
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,15/11/2021,97,596,19.7
TLF010,654,Tarentaal,06/01/2021,F,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,15/11/2021,77,314,10.4
TLF012,654,Tarentaal,06/01/2021,F,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,15/11/2021,86,314,10.4
TLF013,654,Tarentaal,06/01/2021,F,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,15/11/2021,80,314,10.4
TLM009,654,Tarentaal,06/01/2021,M,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,15/11/2021,98,314,10.4
TLM015,691,Tarentaal,20/05/2021,M,IB,Death,982,32.5,4,27/01/2016,1940,64.1,4,13,1,8,M,8,1,Tesla,Tesla,15/11/2021,65,180,6
TLM016,691,Tarentaal,20/05/2021,M,IB,NA,1016,33.6,4,27/01/2016,1940,64.1,4,13,1,8,M,8,1,Tesla,Tesla,15/11/2021,60,180,6
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,15/11/2021,128,638,21.1
TNF011,648,Tinktinkie,13/12/2020,F,IB,Death,1135,37.5,4,05/10/2017,1165,38.5,3,14,1,4,S,4,1,Mandela,Mandela,15/11/2021,77,338,11.2
TNF015,696,Tinktinkie,01/06/2021,F,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,15/11/2021,58,168,5.6
TNF016,696,Tinktinkie,01/06/2021,F,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,15/11/2021,36,168,5.6
TNF018,696,Tinktinkie,01/06/2021,F,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,15/11/2021,45,168,5.6
TNM009,599,Tinktinkie,04/08/2020,M,IB,Death,1266,41.9,3,05/10/2017,1034,34.2,2,14,1,3,S,4,0.8,Mandela,Mandela,15/11/2021,142,469,15.5
TNM012,648,Tinktinkie,13/12/2020,M,IB,Death,1135,37.5,4,05/10/2017,1165,38.5,3,14,1,4,S,4,1,Mandela,Mandela,15/11/2021,95,338,11.2
TNM017,696,Tinktinkie,01/06/2021,M,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,15/11/2021,81,168,5.6
HOM001,632,Hoopoe,10/11/2020,M,IB,Death,1037,34.3,1,24/02/2017,1355,44.8,1,6,1,2,S,4,0.5,Aristotle,Aristotle,16/11/2021,129,372,12.3
PIF004,623,Pigeon,13/10/2020,F,IB,NA,1235,40.8,2,26/03/2016,1662,54.9,2,11,1,4,S,4,1,Moniz,Moniz,17/11/2021,87,401,13.3
PIM003,623,Pigeon,13/10/2020,M,IB,NA,1235,40.8,2,26/03/2016,1662,54.9,2,11,1,4,S,4,1,Moniz,Moniz,17/11/2021,113,401,13.3
TEM004,618,Tit-Babbler,04/10/2020,M,IB,NA,1244,41.1,3,15/11/2015,1785,59,2,15,1,4,S,4,1,Crick,Crick,17/11/2021,114,410,13.6
BIF001,629,Bishop,29/10/2020,F,IB,NA,1219,40.3,1,13/02/2018,989,32.7,1,2,1,2,S,4,0.5,Zunki3,Zunki3,18/11/2021,93,386,12.8
BIM002,665,Bishop,11/02/2021,M,IB,NA,1114,36.8,3,13/02/2018,1094,36.2,2,2,1,3,S,4,0.8,Zunki3,Zunki3,18/11/2021,94,281,9.3
BIM004,665,Bishop,11/02/2021,M,IB,Death,770,25.5,3,13/02/2018,1094,36.2,2,2,1,3,S,4,0.8,Zunki3,Zunki3,18/11/2021,85,281,9.3
HCF001,628,Hammercobb,26/10/2020,F,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,18/11/2021,85,389,12.9
HCM002,628,Hammercobb,26/10/2020,M,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,18/11/2021,149,389,12.9
HCM003,628,Hammercobb,26/10/2020,M,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,18/11/2021,172,389,12.9
KSF001,588,Kapantsi,11/06/2020,F,NB,NA,1359,44.9,3,11/08/2016,1400,46.3,1,8,1,2,S,4,0.5,Moniz,Nakuru,18/11/2021,121,526,17.4
KSF010,704,Kapantsi,11/07/2021,F,NB,Death,949,31.4,3,11/08/2016,1795,59.3,4,8,1,5,M,8,0.6,Moniz,Nakuru,18/11/2021,52,131,4.3
KSM006,673,Kapantsi,02/03/2021,M,NB,NA,1095,36.2,3,11/08/2016,1664,55,3,8,1,5,S,4,1.3,Moniz,Nakuru,18/11/2021,120,262,8.7
KSM008,673,Kapantsi,02/03/2021,M,NB,NA,1095,36.2,3,11/08/2016,1664,55,3,8,1,5,S,4,1.3,Moniz,Nakuru,18/11/2021,92,262,8.7
KSM009,704,Kapantsi,11/07/2021,M,NB,NA,964,31.9,3,11/08/2016,1795,59.3,4,8,1,5,M,8,0.6,Moniz,Nakuru,18/11/2021,58,131,4.3
MBF004,634,Marabou,14/11/2020,F,NB,StatusChange,811,26.8,2,28/06/2016,1600,52.9,2,10,1,3,S,4,0.8,Durrell,Moniz,18/11/2021,94,370,12.2
MBF003,586,Marabou,09/06/2020,F,NB,StatusChange,969,32,3,28/06/2016,1442,47.7,1,10,1,2,S,4,0.5,Durrell,Moniz,18/11/2021,142,528,17.5
MBM005,634,Marabou,14/11/2020,M,NB,Death,1069,35.3,2,28/06/2016,1600,52.9,2,10,1,3,S,4,0.8,Durrell,Moniz,18/11/2021,126,370,12.2
MBM007,679,Marabou,19/03/2021,M,NB,Death,944,31.2,2,28/06/2016,1725,57,3,10,1,5,S,4,1.3,Durrell,Moniz,18/11/2021,88,245,8.1
MBM008,710,Marabou,14/08/2021,M,NB,Death,796,26.3,2,28/06/2016,1873,61.9,4,10,1,7,M,8,0.9,Durrell,Moniz,18/11/2021,60,97,3.2
MBM009,710,Marabou,14/08/2021,M,NB,Death,796,26.3,2,28/06/2016,1873,61.9,4,10,1,7,M,8,0.9,Durrell,Moniz,18/11/2021,45,97,3.2
PIF001,593,Pigeon,28/06/2020,F,IB,NA,1342,44.4,2,26/03/2016,1555,51.4,1,11,1,2,S,4,0.5,Moniz,Moniz,18/11/2021,128,509,16.8
PIF010,689,Pigeon,16/05/2021,F,IB,NA,1020,33.7,3,26/03/2016,1877,62,4,11,1,7,M,8,0.9,Moniz,Moniz,18/11/2021,50,187,6.2
PIF012,721,Pigeon,11/09/2021,F,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,18/11/2021,34,69,2.3
PIF014,721,Pigeon,11/09/2021,F,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,18/11/2021,25,69,2.3
PIM003,623,Pigeon,13/10/2020,M,IB,NA,1235,40.8,2,26/03/2016,1662,54.9,2,11,1,4,S,4,1,Moniz,Moniz,18/11/2021,111,402,13.3
PIM006,663,Pigeon,27/01/2021,M,IB,NA,1129,37.3,4,26/03/2016,1768,58.4,3,11,1,5,S,4,1.3,Moniz,Moniz,18/11/2021,70,296,9.8
PIM013,721,Pigeon,11/09/2021,M,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,18/11/2021,33,69,2.3
SNF003,603,Sneeubal,14/08/2020,F,IB,NA,1295,42.8,3,15/11/2015,1734,57.3,1,12,1,2,S,4,0.5,West,West,18/11/2021,64,462,15.3
SNF012,713,Sneeubal,19/08/2021,F,IB,NA,925,30.6,3,15/11/2015,2104,69.6,4,12,1,5,M,8,0.6,West,West,18/11/2021,47,92,3
SNM001,603,Sneeubal,14/08/2020,M,IB,NA,1295,42.8,3,15/11/2015,1734,57.3,1,12,1,2,S,4,0.5,West,West,18/11/2021,98,462,15.3
SNM002,603,Sneeubal,14/08/2020,M,IB,NA,1295,42.8,3,15/11/2015,1734,57.3,1,12,1,2,S,4,0.5,West,West,18/11/2021,109,462,15.3
SNM013,713,Sneeubal,19/08/2021,M,IB,NA,925,30.6,3,15/11/2015,2104,69.6,4,12,1,5,M,8,0.6,West,West,18/11/2021,40,92,3
TEM002,587,Tit-Babbler,08/06/2020,M,IB,NA,1362,45,3,15/11/2015,1667,55.1,1,15,1,2,S,4,0.5,Crick,Crick,18/11/2021,126,529,17.5
TEM003,587,Tit-Babbler,08/06/2020,M,IB,NA,1362,45,3,15/11/2015,1667,55.1,1,15,1,2,S,4,0.5,Crick,Crick,18/11/2021,113,529,17.5
TEM004,618,Tit-Babbler,04/10/2020,M,IB,NA,1244,41.1,3,15/11/2015,1785,59,2,15,1,4,S,4,1,Crick,Crick,18/11/2021,113,411,13.6
TEM007,659,Tit-Babbler,25/01/2021,M,IB,NA,1131,37.4,2,15/11/2015,1898,62.7,3,15,1,5,S,4,1.3,Crick,Crick,18/11/2021,111,298,9.9
TEM008,659,Tit-Babbler,25/01/2021,M,IB,NA,1131,37.4,2,15/11/2015,1898,62.7,3,15,1,5,S,4,1.3,Crick,Crick,18/11/2021,100,298,9.9
VLF004,630,Vulture,08/11/2020,F,NB,Death,1079,35.7,2,16/09/2016,1514,50,2,16,1,5,S,4,1.3,West,Hawking,18/11/2021,72,376,12.4
VLF005,630,Vulture,08/11/2020,F,NB,NA,1209,40,2,16/09/2016,1514,50,2,16,1,5,S,4,1.3,West,Hawking,18/11/2021,70,376,12.4
VLF006,699,Vulture,20/06/2021,F,NB,StatusChange,851,28.1,3,16/09/2016,1738,57.5,3,16,1,7,M,8,0.9,West,Hawking,18/11/2021,54,152,5
VLF011,723,Vulture,02/10/2021,F,NB,Death,835,27.6,4,16/09/2016,1842,60.9,4,16,1,10,M,8,1.3,West,Hawking,18/11/2021,30,48,1.6
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,18/11/2021,137,550,18.2
VLM002,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,18/11/2021,140,550,18.2
VLM003,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,18/11/2021,173,550,18.2
VLM007,699,Vulture,20/06/2021,M,NB,NA,985,32.6,3,16/09/2016,1738,57.5,3,16,1,7,M,8,0.9,West,Hawking,18/11/2021,53,152,5
VLM008,699,Vulture,20/06/2021,M,NB,NA,985,32.6,3,16/09/2016,1738,57.5,3,16,1,7,M,8,0.9,West,Hawking,18/11/2021,53,152,5
PIF012,721,Pigeon,11/09/2021,F,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,20/11/2021,35,71,2.3
PIF014,721,Pigeon,11/09/2021,F,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,20/11/2021,26,71,2.3
PIM013,721,Pigeon,11/09/2021,M,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,20/11/2021,33,71,2.3
TLF010,654,Tarentaal,06/01/2021,F,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,20/11/2021,78,319,10.5
TLF013,654,Tarentaal,06/01/2021,F,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,20/11/2021,85,319,10.5
TNF016,696,Tinktinkie,01/06/2021,F,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,20/11/2021,38,173,5.7
VLF011,723,Vulture,02/10/2021,F,NB,Death,835,27.6,4,16/09/2016,1842,60.9,4,16,1,10,M,8,1.3,West,Hawking,20/11/2021,31,50,1.7
PIF004,623,Pigeon,13/10/2020,F,IB,NA,1235,40.8,2,26/03/2016,1662,54.9,2,11,1,4,S,4,1,Moniz,Moniz,21/11/2021,87,405,13.4
PIM003,623,Pigeon,13/10/2020,M,IB,NA,1235,40.8,2,26/03/2016,1662,54.9,2,11,1,4,S,4,1,Moniz,Moniz,21/11/2021,120,405,13.4
HOM001,632,Hoopoe,10/11/2020,M,IB,Death,1037,34.3,1,24/02/2017,1355,44.8,1,6,1,2,S,4,0.5,Aristotle,Aristotle,22/11/2021,127,378,12.5
BIF001,629,Bishop,29/10/2020,F,IB,NA,1219,40.3,1,13/02/2018,989,32.7,1,2,1,2,S,4,0.5,Zunki3,Zunki3,23/11/2021,95,391,12.9
VLF005,630,Vulture,08/11/2020,F,NB,NA,1209,40,2,16/09/2016,1514,50,2,16,1,5,S,4,1.3,West,Hawking,23/11/2021,68,381,12.6
VLF006,699,Vulture,20/06/2021,F,NB,StatusChange,851,28.1,3,16/09/2016,1738,57.5,3,16,1,7,M,8,0.9,West,Hawking,23/11/2021,59,157,5.2
HCF001,628,Hammercobb,26/10/2020,F,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,24/11/2021,89,395,13.1
HCM002,628,Hammercobb,26/10/2020,M,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,24/11/2021,147,395,13.1
HCM003,628,Hammercobb,26/10/2020,M,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,24/11/2021,174,395,13.1
MBF004,634,Marabou,14/11/2020,F,NB,StatusChange,811,26.8,2,28/06/2016,1600,52.9,2,10,1,3,S,4,0.8,Durrell,Moniz,24/11/2021,93,376,12.4
MBM005,634,Marabou,14/11/2020,M,NB,Death,1069,35.3,2,28/06/2016,1600,52.9,2,10,1,3,S,4,0.8,Durrell,Moniz,24/11/2021,128,376,12.4
KBF010,670,Kori,21/02/2021,F,NB,Death,745,24.6,4,03/03/2017,1451,48,3,9,1,5,S,4,1.3,Cousteau,Aristotle,25/11/2021,79,278,9.2
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,25/11/2021,139,557,18.4
VLM002,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,25/11/2021,143,557,18.4
VLM003,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,25/11/2021,171,557,18.4
BIF005,730,Bishop,15/11/2021,F,IB,NA,837,27.7,2,13/02/2018,1371,45.3,3,2,1,5,M,8,0.6,Zunki3,Zunki3,26/11/2021,11,12,0.4
BIF006,730,Bishop,15/11/2021,F,IB,NA,837,27.7,2,13/02/2018,1371,45.3,3,2,1,5,M,8,0.6,Zunki3,Zunki3,26/11/2021,10,12,0.4
PIF012,721,Pigeon,11/09/2021,F,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,26/11/2021,40,77,2.5
PIF014,721,Pigeon,11/09/2021,F,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,26/11/2021,27,77,2.5
PIM013,721,Pigeon,11/09/2021,M,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,26/11/2021,36,77,2.5
TNF016,696,Tinktinkie,01/06/2021,F,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,26/11/2021,38,179,5.9
VLF004,630,Vulture,08/11/2020,F,NB,Death,1079,35.7,2,16/09/2016,1514,50,2,16,1,5,S,4,1.3,West,Hawking,26/11/2021,69,384,12.7
VLF011,723,Vulture,02/10/2021,F,NB,Death,835,27.6,4,16/09/2016,1842,60.9,4,16,1,10,M,8,1.3,West,Hawking,26/11/2021,34,56,1.9
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,26/11/2021,135,558,18.4
BAF004,615,Bateleur,09/09/2020,F,IB,StatusChange,740,24.5,2,28/04/2017,1230,40.7,2,1,1,3,S,4,0.8,Tesla,Tesla,29/11/2021,148,447,14.8
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,29/11/2021,162,610,20.2
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,29/11/2021,95,646,21.4
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,29/11/2021,148,646,21.4
HOM001,632,Hoopoe,10/11/2020,M,IB,Death,1037,34.3,1,24/02/2017,1355,44.8,1,6,1,2,S,4,0.5,Aristotle,Aristotle,29/11/2021,127,385,12.7
KBF005,609,Kori,28/08/2020,F,NB,Death,922,30.5,3,03/03/2017,1274,42.1,2,9,1,3,S,4,0.8,Cousteau,Aristotle,29/11/2021,87,459,15.2
KBF010,670,Kori,21/02/2021,F,NB,Death,745,24.6,4,03/03/2017,1451,48,3,9,1,5,S,4,1.3,Cousteau,Aristotle,29/11/2021,84,282,9.3
KBF011,670,Kori,21/02/2021,F,NB,Death,745,24.6,4,03/03/2017,1451,48,3,9,1,5,S,4,1.3,Cousteau,Aristotle,29/11/2021,71,282,9.3
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,29/11/2021,167,655,21.7
KBM008,670,Kori,21/02/2021,M,NB,Death,745,24.6,4,03/03/2017,1451,48,3,9,1,5,S,4,1.3,Cousteau,Aristotle,29/11/2021,108,282,9.3
KBM009,670,Kori,21/02/2021,M,NB,Death,745,24.6,4,03/03/2017,1451,48,3,9,1,5,S,4,1.3,Cousteau,Aristotle,29/11/2021,90,282,9.3
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,29/11/2021,131,610,20.2
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,29/11/2021,98,610,20.2
TLF010,654,Tarentaal,06/01/2021,F,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,29/11/2021,78,328,10.8
TLF012,654,Tarentaal,06/01/2021,F,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,29/11/2021,91,328,10.8
TLF013,654,Tarentaal,06/01/2021,F,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,29/11/2021,85,328,10.8
TLM009,654,Tarentaal,06/01/2021,M,IB,NA,1150,38,5,27/01/2016,1806,59.7,3,13,1,4,S,4,1,Tesla,Tesla,29/11/2021,101,328,10.8
TLM015,691,Tarentaal,20/05/2021,M,IB,Death,982,32.5,4,27/01/2016,1940,64.1,4,13,1,8,M,8,1,Tesla,Tesla,29/11/2021,66,194,6.4
TLM016,691,Tarentaal,20/05/2021,M,IB,NA,1016,33.6,4,27/01/2016,1940,64.1,4,13,1,8,M,8,1,Tesla,Tesla,29/11/2021,64,194,6.4
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,29/11/2021,125,652,21.6
TNF011,648,Tinktinkie,13/12/2020,F,IB,Death,1135,37.5,4,05/10/2017,1165,38.5,3,14,1,4,S,4,1,Mandela,Mandela,29/11/2021,81,352,11.6
TNF015,696,Tinktinkie,01/06/2021,F,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,29/11/2021,59,182,6
TNF016,696,Tinktinkie,01/06/2021,F,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,29/11/2021,39,182,6
TNF018,696,Tinktinkie,01/06/2021,F,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,29/11/2021,47,182,6
TNM009,599,Tinktinkie,04/08/2020,M,IB,Death,1266,41.9,3,05/10/2017,1034,34.2,2,14,1,3,S,4,0.8,Mandela,Mandela,29/11/2021,148,483,16
TNM012,648,Tinktinkie,13/12/2020,M,IB,Death,1135,37.5,4,05/10/2017,1165,38.5,3,14,1,4,S,4,1,Mandela,Mandela,29/11/2021,103,352,11.6
TNM017,696,Tinktinkie,01/06/2021,M,IB,Death,965,31.9,4,05/10/2017,1335,44.1,4,14,1,6,M,8,0.8,Mandela,Mandela,29/11/2021,89,182,6
HOM001,632,Hoopoe,10/11/2020,M,IB,Death,1037,34.3,1,24/02/2017,1355,44.8,1,6,1,2,S,4,0.5,Aristotle,Aristotle,01/12/2021,137,387,12.8
BIF001,629,Bishop,29/10/2020,F,IB,NA,1219,40.3,1,13/02/2018,989,32.7,1,2,1,2,S,4,0.5,Zunki3,Zunki3,02/12/2021,93,400,13.2
BIM002,665,Bishop,11/02/2021,M,IB,NA,1114,36.8,3,13/02/2018,1094,36.2,2,2,1,3,S,4,0.8,Zunki3,Zunki3,02/12/2021,107,295,9.8
BIM004,665,Bishop,11/02/2021,M,IB,Death,770,25.5,3,13/02/2018,1094,36.2,2,2,1,3,S,4,0.8,Zunki3,Zunki3,02/12/2021,92,295,9.8
HCF001,628,Hammercobb,26/10/2020,F,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,02/12/2021,82,403,13.3
HCM002,628,Hammercobb,26/10/2020,M,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,02/12/2021,148,403,13.3
HCM003,628,Hammercobb,26/10/2020,M,NB,NA,1222,40.4,3,09/01/2018,1021,33.8,1,5,1,2,S,4,0.5,Bennett,Curie,02/12/2021,173,403,13.3
KSF001,588,Kapantsi,11/06/2020,F,NB,NA,1359,44.9,3,11/08/2016,1400,46.3,1,8,1,2,S,4,0.5,Moniz,Nakuru,02/12/2021,122,540,17.9
KSF010,704,Kapantsi,11/07/2021,F,NB,Death,949,31.4,3,11/08/2016,1795,59.3,4,8,1,5,M,8,0.6,Moniz,Nakuru,02/12/2021,58,145,4.8
KSM006,673,Kapantsi,02/03/2021,M,NB,NA,1095,36.2,3,11/08/2016,1664,55,3,8,1,5,S,4,1.3,Moniz,Nakuru,02/12/2021,129,276,9.1
KSM008,673,Kapantsi,02/03/2021,M,NB,NA,1095,36.2,3,11/08/2016,1664,55,3,8,1,5,S,4,1.3,Moniz,Nakuru,02/12/2021,100,276,9.1
KSM009,704,Kapantsi,11/07/2021,M,NB,NA,964,31.9,3,11/08/2016,1795,59.3,4,8,1,5,M,8,0.6,Moniz,Nakuru,02/12/2021,65,145,4.8
MBF004,634,Marabou,14/11/2020,F,NB,StatusChange,811,26.8,2,28/06/2016,1600,52.9,2,10,1,3,S,4,0.8,Durrell,Moniz,02/12/2021,98,384,12.7
MBF003,586,Marabou,09/06/2020,F,NB,StatusChange,969,32,3,28/06/2016,1442,47.7,1,10,1,2,S,4,0.5,Durrell,Moniz,02/12/2021,150,542,17.9
MBM005,634,Marabou,14/11/2020,M,NB,Death,1069,35.3,2,28/06/2016,1600,52.9,2,10,1,3,S,4,0.8,Durrell,Moniz,02/12/2021,138,384,12.7
MBM007,679,Marabou,19/03/2021,M,NB,Death,944,31.2,2,28/06/2016,1725,57,3,10,1,5,S,4,1.3,Durrell,Moniz,02/12/2021,91,259,8.6
MBM008,710,Marabou,14/08/2021,M,NB,Death,796,26.3,2,28/06/2016,1873,61.9,4,10,1,7,M,8,0.9,Durrell,Moniz,02/12/2021,66,111,3.7
MBM009,710,Marabou,14/08/2021,M,NB,Death,796,26.3,2,28/06/2016,1873,61.9,4,10,1,7,M,8,0.9,Durrell,Moniz,02/12/2021,49,111,3.7
PIF001,593,Pigeon,28/06/2020,F,IB,NA,1342,44.4,2,26/03/2016,1555,51.4,1,11,1,2,S,4,0.5,Moniz,Moniz,02/12/2021,133,523,17.3
PIF004,623,Pigeon,13/10/2020,F,IB,NA,1235,40.8,2,26/03/2016,1662,54.9,2,11,1,4,S,4,1,Moniz,Moniz,02/12/2021,83,416,13.8
PIF010,689,Pigeon,16/05/2021,F,IB,NA,1020,33.7,3,26/03/2016,1877,62,4,11,1,7,M,8,0.9,Moniz,Moniz,02/12/2021,54,201,6.6
PIF012,721,Pigeon,11/09/2021,F,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,02/12/2021,40,83,2.7
PIF014,721,Pigeon,11/09/2021,F,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,02/12/2021,27,83,2.7
PIM003,623,Pigeon,13/10/2020,M,IB,NA,1235,40.8,2,26/03/2016,1662,54.9,2,11,1,4,S,4,1,Moniz,Moniz,02/12/2021,119,416,13.8
PIM006,663,Pigeon,27/01/2021,M,IB,NA,1129,37.3,4,26/03/2016,1768,58.4,3,11,1,5,S,4,1.3,Moniz,Moniz,02/12/2021,75,310,10.2
PIM013,721,Pigeon,11/09/2021,M,IB,NA,902,29.8,3,26/03/2016,1995,66,5,11,1,8,M,8,1,Moniz,Moniz,02/12/2021,34,83,2.7
SNF003,603,Sneeubal,14/08/2020,F,IB,NA,1295,42.8,3,15/11/2015,1734,57.3,1,12,1,2,S,4,0.5,West,West,02/12/2021,69,476,15.7
SNF012,713,Sneeubal,19/08/2021,F,IB,NA,925,30.6,3,15/11/2015,2104,69.6,4,12,1,5,M,8,0.6,West,West,02/12/2021,51,106,3.5
SNM001,603,Sneeubal,14/08/2020,M,IB,NA,1295,42.8,3,15/11/2015,1734,57.3,1,12,1,2,S,4,0.5,West,West,02/12/2021,101,476,15.7
SNM002,603,Sneeubal,14/08/2020,M,IB,NA,1295,42.8,3,15/11/2015,1734,57.3,1,12,1,2,S,4,0.5,West,West,02/12/2021,109,476,15.7
SNM013,713,Sneeubal,19/08/2021,M,IB,NA,925,30.6,3,15/11/2015,2104,69.6,4,12,1,5,M,8,0.6,West,West,02/12/2021,42,106,3.5
