LitterRef,AnimalID,Colony,DateOfBirth,Sex,Treatment,Outcome,Cause,Time,Censorship_D,Mnths,LitterSize,Mat.Birthdate,Mat.Age,Mother,Sur30,GroupSize,Density
851,VLF022,Vulture,01/01/2023,F,Outbred,NA,NA,425,0,14,4,16/09/2016,2298,16,1,19,1.2
851,VLF023,Vulture,01/01/2023,F,Outbred,NA,NA,425,0,14,4,16/09/2016,2298,16,1,19,1.2
882,VLF027,Vulture,18/04/2023,F,Outbred,NA,NA,318,0,10.5,4,16/09/2016,2405,16,1,21,1.3
949,VLF031,Vulture,05/12/2023,F,Outbred,,,87,0,2.9,3,16/09/2016,2636,16,1,23,1.4
949,VLF032,Vulture,05/12/2023,F,Outbred,,,87,0,2.9,3,16/09/2016,2636,16,1,23,1.4
949,VLF033,Vulture,05/12/2023,F,Outbred,,,87,0,2.9,3,16/09/2016,2636,16,1,23,1.4
699,VLM007,Vulture,20/06/2021,M,Outbred,NA,NA,985,0,32.6,3,16/09/2016,1738,16,1,7,0.9
699,VLM008,Vulture,20/06/2021,M,Outbred,NA,NA,985,0,32.6,3,16/09/2016,1738,16,1,7,0.9
755,VLM012,Vulture,30/01/2022,M,Outbred,NA,NA,761,0,25.2,2,16/09/2016,1962,16,1,13,1.6
755,VLM013,Vulture,30/01/2022,M,Outbred,NA,NA,761,0,25.2,2,16/09/2016,1962,16,1,13,1.6
779,VLM014,Vulture,14/05/2022,M,Outbred,NA,NA,657,0,21.7,3,16/09/2016,2066,16,1,13,1.6
779,VLM016,Vulture,14/05/2022,M,Outbred,NA,NA,657,0,21.7,3,16/09/2016,2066,16,1,13,1.6
819,VLM017,Vulture,23/09/2022,M,Outbred,NA,NA,525,0,17.4,3,16/09/2016,2198,16,1,16,1
882,VLM024,Vulture,18/04/2023,M,Outbred,NA,NA,318,0,10.5,4,16/09/2016,2405,16,1,21,1.3
882,VLM025,Vulture,18/04/2023,M,Outbred,NA,NA,318,0,10.5,4,16/09/2016,2405,16,1,21,1.3
882,VLM026,Vulture,18/04/2023,M,Outbred,NA,NA,318,0,10.5,4,16/09/2016,2405,16,1,21,1.3
704,KSF010,Kapantsi,11/07/2021,F,Outbred,Death,Immigration,949,0,31.4,3,11/08/2016,1795,8,1,5,0.6
827,HCF011,Hammercobb,08/10/2022,F,Outbred,Death,Artificial,480,0,15.9,4,09/01/2018,1733,5,1,9,1.1
914,HCF014,Hammercobb,16/08/2023,F,Outbred,Death,Natural,163,0,5.4,4,09/01/2018,2045,5,1,13,1.6
951,GEF016,Geelvink,11/12/2023,F,Outbred,Death,Natural,43,0,1.4,4,14/06/2014,3467,4,0,11,1.38
723,VLF011,Vulture,02/10/2021,F,Outbred,Death,Artificial,835,0,27.6,4,16/09/2016,1842,16,1,10,1.3
630,VLF004,Vulture,08/11/2020,F,Outbred,Death,Artificial,1079,0,35.7,2,16/09/2016,1514,16,1,5,1.3
739,MBF010,Marabou,07/12/2021,F,Outbred,Death,Artificial,681,0,22.5,2,28/06/2016,1988,10,1,9,1.1
634,MBM005,Marabou,14/11/2020,M,Outbred,Death,Euth,1069,0,35.3,2,28/06/2016,1600,10,1,3,0.8
679,MBM007,Marabou,19/03/2021,M,Outbred,Death,Euth,944,0,31.2,2,28/06/2016,1725,10,1,5,1.3
710,MBM008,Marabou,14/08/2021,M,Outbred,Death,Euth,796,0,26.3,2,28/06/2016,1873,10,1,7,0.9
710,MBM009,Marabou,14/08/2021,M,Outbred,Death,Euth,796,0,26.3,2,28/06/2016,1873,10,1,7,0.9
739,MBM011,Marabou,07/12/2021,M,Outbred,Death,Euth,681,0,22.5,2,28/06/2016,1988,10,1,9,1.1
806,MBM014,Marabou,15/08/2022,M,Outbred,Death,Euth,430,0,14.2,3,28/06/2016,2239,10,1,12,1.5
806,MBM015,Marabou,15/08/2022,M,Outbred,Death,Euth,430,0,14.2,3,28/06/2016,2239,10,1,12,1.5
806,MBM016,Marabou,15/08/2022,M,Outbred,Death,Euth,430,0,14.2,3,28/06/2016,2239,10,1,12,1.5
699,VLF006,Vulture,20/06/2021,F,Outbred,StatusChange,Removal,851,0,28.1,3,16/09/2016,1738,16,1,7,0.9
831,KSF023,Kapantsi,25/10/2022,F,Outbred,Death,Natural,355,1,11.7,5,11/08/2016,2266,8,1,13,1.6
918,VLM028,Vulture,23/08/2023,M,Outbred,Death,Natural,28,0,0.9,3,16/09/2016,2532,16,0,24,1.5
918,VLF030,Vulture,23/08/2023,F,Outbred,Death,Natural,6,1,0.2,3,16/09/2016,2532,16,0,24,1.5
918,VLM029,Vulture,23/08/2023,M,Outbred,Death,Natural,6,1,0.2,3,16/09/2016,2532,16,0,24,1.5
914,HCM016,Hammercobb,16/08/2023,M,Outbred,Death,Natural,4,1,0.1,4,09/01/2018,2045,5,0,13,1.6
907,KSM031,Kapantsi,01/08/2023,M,Outbred,Death,Natural,17,1,0.6,3,11/08/2016,2546,8,0,21,1.3
907,KSM032,Kapantsi,01/08/2023,M,Outbred,Death,Natural,6,1,0.2,3,11/08/2016,2546,8,0,21,1.3
907,KSF030,Kapantsi,01/08/2023,F,Outbred,Death,Natural,5,1,0.2,3,11/08/2016,2546,8,0,21,1.3
752,KSF015,Kapantsi,28/01/2022,F,Outbred,Death,Natural,539,1,17.8,5,11/08/2016,1996,8,1,7,0.9
609,KBF005,Kori,28/08/2020,F,Outbred,Death,Euth,922,0,30.5,3,03/03/2017,1274,9,1,3,0.8
670,KBF010,Kori,21/02/2021,F,Outbred,Death,Euth,745,0,24.6,4,03/03/2017,1451,9,1,5,1.3
670,KBF011,Kori,21/02/2021,F,Outbred,Death,Euth,745,0,24.6,4,03/03/2017,1451,9,1,5,1.3
670,KBM008,Kori,21/02/2021,M,Outbred,Death,Euth,745,0,24.6,4,03/03/2017,1451,9,1,5,1.3
670,KBM009,Kori,21/02/2021,M,Outbred,Death,Euth,745,0,24.6,4,03/03/2017,1451,9,1,5,1.3
851,VLM020,Vulture,01/01/2023,M,Outbred,Death,Natural,36,1,1.2,4,16/09/2016,2298,16,1,19,1.2
634,MBF004,Marabou,14/11/2020,F,Outbred,StatusChange,Removal,811,0,26.8,2,28/06/2016,1600,10,1,3,0.8
679,MBF006,Marabou,19/03/2021,F,Outbred,StatusChange,Removal,686,0,22.7,2,28/06/2016,1725,10,1,5,1.3
854,GEM011,Geelvink,09/01/2023,M,Outbred,Death,Natural,9,1,0.3,5,14/06/2014,3131,4,0,6,0.75
851,VLF021,Vulture,01/01/2023,F,Outbred,Death,Natural,13,1,0.4,4,16/09/2016,2298,16,0,19,1.2
849,MBF018,Marabou,28/12/2022,F,Outbred,StatusChange,Removal,13,0,0.4,3,28/06/2016,2374,10,1,14,1.8
849,MBF019,Marabou,28/12/2022,F,Outbred,StatusChange,Removal,13,0,0.4,3,28/06/2016,2374,10,1,14,1.8
849,MBM017,Marabou,28/12/2022,M,Outbred,Death,Natural,1,1,0,3,28/06/2016,2374,10,0,14,1.8
756,HCM007,Hammercobb,01/02/2022,M,Outbred,Death,Artificial,176,0,5.8,4,09/01/2018,1484,5,1,5,0.6
789,KSM019,Kapantsi,30/05/2022,M,Outbred,Death,Artificial,51,0,1.7,4,11/08/2016,2118,8,1,12,1.5
789,KSM018,Kapantsi,30/05/2022,M,Outbred,Death,Natural,12,1,0.4,4,11/08/2016,2118,8,0,12,1.5
752,KSF013,Kapantsi,28/01/2022,F,Outbred,Death,Natural,125,1,4.1,5,11/08/2016,1996,8,1,7,0.9
782,GEF004,Geelvink,21/05/2022,F,Outbred,Death,Natural,7,1,0.2,3,14/06/2014,2898,4,0,4,1
778,MBU013,Marabou,30/04/2022,U,Outbred,Death,Natural,1,1,0,2,28/06/2016,2132,10,0,12,1.5
778,MBF012,Marabou,30/04/2022,F,Outbred,Death,Natural,0,1,0,2,28/06/2016,2132,10,0,12,1.5
723,VLF009,Vulture,02/10/2021,F,Outbred,Death,Artificial,201,0,6.6,4,16/09/2016,1842,16,1,10,1.3
723,VLM010,Vulture,02/10/2021,M,Outbred,Death,Natural,163,1,5.4,4,16/09/2016,1842,16,1,10,1.3
609,KBF006,Kori,28/08/2020,F,Outbred,StatusChange,Removal,508,0,16.8,3,03/03/2017,1274,9,1,3,0.8
741,KBM012,Kori,12/12/2021,M,Outbred,StatusChange,Removal,10,0,0.3,3,03/03/2017,1745,9,1,9,1.1
741,KBM013,Kori,12/12/2021,M,Outbred,StatusChange,Removal,10,0,0.3,3,03/03/2017,1745,9,1,9,1.1
741,KBM014,Kori,12/12/2021,M,Outbred,StatusChange,Removal,10,0,0.3,3,03/03/2017,1745,9,1,9,1.1
723,VLF012,Vulture,02/10/2021,F,Outbred,Death,Natural,27,1,0.9,4,16/09/2016,1842,16,0,10,1.3
653,BKF004,Bokmakerie,04/01/2021,F,Outbred,StatusChange,Export,273,0,9,4,09/06/2015,2036,3,1,4,1
685,BKF007,Bokmakerie,27/04/2021,F,Outbred,StatusChange,Export,160,0,5.3,2,09/06/2015,2149,3,1,8,1
563,GEF001,Geelvink,23/02/2020,F,Outbred,NA,NA,1468,0,48.5,3,14/06/2014,2080,4,1,2,0.5
653,BKM003,Bokmakerie,04/01/2021,M,Outbred,StatusChange,Export,273,0,9,4,09/06/2015,2036,3,1,4,1
653,BKM005,Bokmakerie,04/01/2021,M,Outbred,StatusChange,Export,273,0,9,4,09/06/2015,2036,3,1,4,1
653,BKM006,Bokmakerie,04/01/2021,M,Outbred,StatusChange,Export,273,0,9,4,09/06/2015,2036,3,1,4,1
685,BKM008,Bokmakerie,27/04/2021,M,Outbred,StatusChange,Export,160,0,5.3,2,09/06/2015,2149,3,1,8,1
563,GEM003,Geelvink,23/02/2020,M,Outbred,NA,NA,1468,0,48.5,3,14/06/2014,2080,4,1,2,0.5
628,HCF001,Hammercobb,26/10/2020,F,Outbred,NA,NA,1222,0,40.4,3,09/01/2018,1021,5,1,2,0.5
633,JSF005,Jackass,11/11/2020,F,Outbred,StatusChange,Export,327,0,10.8,1,20/02/2018,995,7,1,6,1.5
697,JSF006,Jackass,01/06/2021,F,Outbred,StatusChange,Export,125,0,4.1,2,20/02/2018,1197,7,1,7,0.9
722,JSF008,Jackass,17/09/2021,F,Outbred,StatusChange,Export,17,0,0.6,5,20/02/2018,1305,7,NA,8,1
722,JSF011,Jackass,17/09/2021,F,Outbred,StatusChange,Export,17,0,0.6,5,20/02/2018,1305,7,NA,8,1
628,HCM002,Hammercobb,26/10/2020,M,Outbred,NA,NA,1222,0,40.4,3,09/01/2018,1021,5,1,2,0.5
628,HCM003,Hammercobb,26/10/2020,M,Outbred,NA,NA,1222,0,40.4,3,09/01/2018,1021,5,1,2,0.5
697,JSM007,Jackass,01/06/2021,M,Outbred,StatusChange,Export,125,0,4.1,2,20/02/2018,1197,7,1,7,0.9
722,JSM009,Jackass,17/09/2021,M,Outbred,StatusChange,Export,17,0,0.6,5,20/02/2018,1305,7,NA,8,1
722,JSM010,Jackass,17/09/2021,M,Outbred,StatusChange,Export,17,0,0.6,5,20/02/2018,1305,7,NA,8,1
722,JSM012,Jackass,17/09/2021,M,Outbred,StatusChange,Export,17,0,0.6,5,20/02/2018,1305,7,NA,8,1
704,KSM011,Kapantsi,11/07/2021,M,Outbred,Death,Natural,44,1,1.5,3,11/08/2016,1795,8,1,5,0.6
588,KSF001,Kapantsi,11/06/2020,F,Outbred,NA,NA,1359,0,44.9,3,11/08/2016,1400,8,1,2,0.5
585,VLM001,Vulture,18/05/2020,M,Outbred,NA,NA,1383,0,45.7,3,16/09/2016,1340,16,1,2,0.5
673,KSF007,Kapantsi,02/03/2021,F,Outbred,Death,Natural,64,1,2.1,3,11/08/2016,1664,8,1,5,1.3
609,KBM007,Kori,28/08/2020,M,Outbred,Death,Natural,151,1,5,3,03/03/2017,1274,9,1,3,0.8
585,VLM002,Vulture,18/05/2020,M,Outbred,NA,NA,1383,0,45.7,3,16/09/2016,1340,16,1,2,0.5
636,KSU004,Kapantsi,18/11/2020,U,Outbred,Death,Natural,1,1,0,2,11/08/2016,1560,8,0,5,1.3
636,KSU005,Kapantsi,18/11/2020,U,Outbred,Death,Natural,1,1,0,2,11/08/2016,1560,8,0,5,1.3
585,VLM003,Vulture,18/05/2020,M,Outbred,NA,NA,1383,0,45.7,3,16/09/2016,1340,16,1,2,0.5
557,KBM002,Kori,14/02/2020,M,Outbred,Death,Euth,1118,0,37,4,03/03/2017,1078,9,1,2,0.5
586,MBF003,Marabou,09/06/2020,F,Outbred,StatusChange,Removal,969,0,32,3,28/06/2016,1442,10,1,2,0.5
575,BKF002,Bokmakerie,30/03/2020,F,Outbred,StatusChange,Export,553,0,18.3,2,09/06/2015,1756,3,1,2,0.5
575,BKM001,Bokmakerie,30/03/2020,M,Outbred,StatusChange,Export,553,0,18.3,2,09/06/2015,1756,3,1,2,0.5
582,JSF002,Jackass,13/05/2020,F,Outbred,StatusChange,Export,509,0,16.8,4,20/02/2018,813,7,1,2,0.5
582,JSF003,Jackass,13/05/2020,F,Outbred,StatusChange,Export,509,0,16.8,4,20/02/2018,813,7,1,2,0.5
582,JSM001,Jackass,13/05/2020,M,Outbred,StatusChange,Export,509,0,16.8,4,20/02/2018,813,7,1,2,0.5
582,JSM004,Jackass,13/05/2020,M,Outbred,StatusChange,Export,509,0,16.8,4,20/02/2018,813,7,1,2,0.5
588,KSM002,Kapantsi,11/06/2020,M,Outbred,Death,Immigration,369,0,12.2,3,11/08/2016,1400,8,1,2,0.5
588,KSM003,Kapantsi,11/06/2020,M,Outbred,Death,Immigration,369,0,12.2,3,11/08/2016,1400,8,1,2,0.5
586,MBM001,Marabou,09/06/2020,M,Outbred,Death,Artificial,52,0,1.7,3,28/06/2016,1442,10,1,2,0.5
557,KBF003,Kori,14/02/2020,F,Outbred,Death,Immigration,165,0,5.5,4,03/03/2017,1078,9,1,2,0.5
586,MBF002,Marabou,09/06/2020,F,Outbred,Death,Natural,4,1,0.1,3,28/06/2016,1442,10,0,2,0.5
557,KBM001,Kori,14/02/2020,M,Outbred,Death,Natural,110,1,3.6,4,03/03/2017,1078,9,1,2,0.5
563,GEF002,Geelvink,23/02/2020,F,Outbred,Death,Natural,100,1,3.3,3,14/06/2014,2080,4,1,2,0.5
557,KBU004,Kori,14/02/2020,U,Outbred,Death,Natural,2,1,0.1,4,03/03/2017,1078,9,0,2,0.5
